gradient1_norm: 109.585777, loss: 0.138613
gradient1_norm: 27.995208, loss: 0.048603
gradient1_norm: 10.146276, loss: 0.017995
gradient1_norm: 3.773001, loss: 0.006769
gradient1_norm: 1.411381, loss: 0.002558
gradient1_norm: 0.528126, loss: 0.000967
gradient1_norm: 0.197246, loss: 0.000365
gradient1_norm: 0.073464, loss: 0.000138
gradient1_norm: 0.027281, loss: 0.000052
gradient1_norm: 0.010103, loss: 0.000020
gradient1_norm: 0.003733, loss: 0.000007
gradient1_norm: 0.001377, loss: 0.000003
gradient1_norm: 0.000507, loss: 0.000001
gradient1_norm: 0.000187, loss: 0.000000
gradient1_norm: 0.000069, loss: 0.000000
gradient1_norm: 0.000025, loss: 0.000000
gradient1_norm: 0.000009, loss: 0.000000
gradient1_norm: 0.000003, loss: 0.000000
gradient1_norm: 0.000001, loss: 0.000000
gradient1_norm: 0.000000, loss: 0.000000
