gradient1_norm: 59.572687, loss: 0.150885
gradient1_norm: 17.790067, loss: 0.056779
gradient1_norm: 7.127418, loss: 0.022616
gradient1_norm: 2.889671, loss: 0.009181
gradient1_norm: 1.166983, loss: 0.003742
gradient1_norm: 0.464537, loss: 0.001519
gradient1_norm: 0.181269, loss: 0.000610
gradient1_norm: 0.069344, loss: 0.000241
gradient1_norm: 0.026105, loss: 0.000094
gradient1_norm: 0.009720, loss: 0.000036
gradient1_norm: 0.003595, loss: 0.000014
gradient1_norm: 0.001325, loss: 0.000005
gradient1_norm: 0.000488, loss: 0.000002
gradient1_norm: 0.000179, loss: 0.000001
gradient1_norm: 0.000066, loss: 0.000000
gradient1_norm: 0.000024, loss: 0.000000
gradient1_norm: 0.000009, loss: 0.000000
gradient1_norm: 0.000003, loss: 0.000000
gradient1_norm: 0.000001, loss: 0.000000
gradient1_norm: 0.000000, loss: 0.000000
