gradient1_norm: 45.912008, loss: 0.144659
gradient1_norm: 11.588571, loss: 0.052666
gradient1_norm: 4.209274, loss: 0.020295
gradient1_norm: 1.575911, loss: 0.007975
gradient1_norm: 0.595300, loss: 0.003159
gradient1_norm: 0.225492, loss: 0.001255
gradient1_norm: 0.085423, loss: 0.000498
gradient1_norm: 0.032316, loss: 0.000197
gradient1_norm: 0.012195, loss: 0.000077
gradient1_norm: 0.004586, loss: 0.000030
gradient1_norm: 0.001718, loss: 0.000011
gradient1_norm: 0.000641, loss: 0.000004
gradient1_norm: 0.000239, loss: 0.000002
gradient1_norm: 0.000088, loss: 0.000001
gradient1_norm: 0.000033, loss: 0.000000
gradient1_norm: 0.000012, loss: 0.000000
gradient1_norm: 0.000004, loss: 0.000000
gradient1_norm: 0.000002, loss: 0.000000
gradient1_norm: 0.000001, loss: 0.000000
