gradient1_norm: 102.801021, loss: 0.141173
gradient1_norm: 26.602588, loss: 0.049511
gradient1_norm: 9.591256, loss: 0.018281
gradient1_norm: 3.543442, loss: 0.006852
gradient1_norm: 1.318139, loss: 0.002580
gradient1_norm: 0.491232, loss: 0.000972
gradient1_norm: 0.183054, loss: 0.000366
gradient1_norm: 0.068157, loss: 0.000137
gradient1_norm: 0.025349, loss: 0.000052
gradient1_norm: 0.009417, loss: 0.000019
gradient1_norm: 0.003494, loss: 0.000007
gradient1_norm: 0.001295, loss: 0.000003
gradient1_norm: 0.000480, loss: 0.000001
gradient1_norm: 0.000177, loss: 0.000000
gradient1_norm: 0.000066, loss: 0.000000
gradient1_norm: 0.000024, loss: 0.000000
gradient1_norm: 0.000009, loss: 0.000000
gradient1_norm: 0.000003, loss: 0.000000
gradient1_norm: 0.000001, loss: 0.000000
gradient1_norm: 0.000000, loss: 0.000000
